URL,PageRank_Score,Name,Stars,Language_Grouped,Rank_PR,Rank_Stars,Rank_Difference
https://github.com/charmbracelet/bubbletea,0.001156856158872241,bubbletea,19760,Go,126.0,707.0,581.0
https://github.com/tgmarinho/README-ecoleta,0.0011568207628135526,README-ecoleta,211,TypeScript,127.0,2322.0,2195.0
https://github.com/pablo-abc/felte,0.0011548206320774472,felte,885,TypeScript,128.0,1665.0,1537.0
https://github.com/azl397985856/leetcode,0.0011528852354914824,leetcode,52454,JavaScript,129.0,120.0,-9.0
https://github.com/gitleaks/gitleaks,0.0011496810563295544,gitleaks,13815,Go,130.0,1209.0,1079.0
https://github.com/avajs/ava,0.001147783545577171,ava,20493,JavaScript,131.0,668.0,537.0
https://github.com/ginuerzh/gost,0.0011444422969244534,gost,13835,Go,132.0,1207.0,1075.0
https://github.com/lensterxyz/lenster,0.0011442259433531424,lenster,21198,TypeScript,133.0,633.0,500.0
https://github.com/zeromicro/go-zero,0.0011431415651875928,go-zero,25528,Go,134.0,421.0,287.0
https://github.com/FreeCodeCampChina/freecodecamp.cn,0.0011430742667908561,freecodecamp.cn,36528,Other,135.0,242.0,107.0
https://github.com/maitraysuthar/rest-api-nodejs-mongodb,0.001140400962620267,rest-api-nodejs-mongodb,1099,JavaScript,136.0,1606.0,1470.0
https://github.com/microsoft/CNTK,0.0011368760304550265,CNTK,17404,C++,137.0,870.0,733.0
https://github.com/facebook/docusaurus,0.0011342775134117074,docusaurus,47805,TypeScript,138.0,137.0,-1.0
https://github.com/wopian/kitsu,0.0011340306251459008,kitsu,243,JavaScript,139.0,2234.5,2095.5
https://github.com/medusajs/medusa,0.001128311438437421,medusa,19805,TypeScript,140.0,705.0,565.0
https://github.com/go-gitea/gitea,0.0011232576350603879,gitea,38389,Go,141.0,228.0,87.0
https://github.com/tensorflow/tensorflow,0.001121486512178608,tensorflow,177727,C++,142.0,8.0,-134.0
https://github.com/sudheerj/reactjs-interview-questions,0.0011179594914457096,reactjs-interview-questions,31865,JavaScript,143.0,317.0,174.0
https://github.com/wtfutil/wtf,0.0011146458104655203,wtf,15045,Go,144.0,1075.5,931.5
https://github.com/karanpratapsingh/fullstack-starterkit,0.0011139433783337262,fullstack-starterkit,1153,TypeScript,145.0,1599.0,1454.0
https://github.com/electron/electron,0.001113373098620658,electron,109151,C++,146.0,24.0,-122.0
https://github.com/horovod/horovod,0.00111327420064429,horovod,13564,Python,147.0,1235.0,1088.0
https://github.com/R-js/libRmath.js,0.0011124794609097565,libRmath.js,459,TypeScript,148.0,1895.5,1747.5
https://github.com/kingToolbox/WindTerm,0.0011032095520632744,WindTerm,16830,C,149.0,919.0,770.0
https://github.com/keras-team/keras,0.001094534785454409,keras,59372,Python,150.0,89.0,-61.0
https://github.com/gradio-app/gradio,0.0010834735885090492,gradio,22028,Python,151.0,584.0,433.0
https://github.com/macrozheng/mall,0.0010813336724473765,mall,70151,Java,152.0,68.0,-84.0
https://github.com/Toni-SM/skrl,0.0010792609931280334,skrl,283,Python,153.0,2132.0,1979.0
https://github.com/bee-san/pyWhat,0.0010730500406444926,pyWhat,6077,Python,154.0,1386.0,1232.0
https://github.com/halfrost/LeetCode-Go,0.0010712761093710384,LeetCode-Go,30573,Go,155.0,336.0,181.0
https://github.com/MLEveryday/100-Days-Of-ML-Code,0.0010676779135294385,100-Days-Of-ML-Code,20295,Python,156.0,676.0,520.0
https://github.com/date-fns/date-fns,0.0010658031582564324,date-fns,32312,TypeScript,157.0,311.0,154.0
https://github.com/mobxjs/mobx,0.001065632267619077,mobx,26733,TypeScript,158.0,385.0,227.0
https://github.com/CocoaLumberjack/CocoaLumberjack,0.0010649383887375693,CocoaLumberjack,13030,Other,159.0,1339.0,1180.0
https://github.com/SigNoz/signoz,0.0010647638972541473,signoz,14341,TypeScript,160.0,1145.0,985.0
https://github.com/fastai/fastai,0.0010617357143643607,fastai,24510,Python,161.0,457.0,296.0
https://github.com/qax-os/excelize,0.0010602642677161654,excelize,15973,Go,162.0,987.0,825.0
https://github.com/SwifterSwift/SwifterSwift,0.0010594325569506524,SwifterSwift,13150,Other,163.0,1318.0,1155.0
https://github.com/PowerShell/PowerShell,0.0010588947525139382,PowerShell,40584,C#,164.0,200.0,36.0
https://github.com/microsoft/AI-For-Beginners,0.0010517344878257812,AI-For-Beginners,17539,Python,165.0,855.0,690.0
https://github.com/avelino/awesome-go,0.0010464846900776928,awesome-go,108489,Go,166.0,25.0,-141.0
https://github.com/nextcloud/server,0.0010460993856110633,server,23791,Other,167.0,486.0,319.0
https://github.com/SDWebImage/SDWebImage,0.001045579244560502,SDWebImage,24672,Other,168.0,451.0,283.0
https://github.com/BlueBubblesApp/bluebubbles-app,0.0010450934536240547,bluebubbles-app,496,Other,169.0,1869.0,1700.0
https://github.com/pyro-ppl/pyro,0.001041329848265269,pyro,8130,Python,170.0,1378.0,1208.0
https://github.com/d2l-ai/d2l-zh,0.0010407435916846314,d2l-zh,48498,Python,171.0,135.0,-36.0
https://github.com/TryGhost/Ghost,0.0010295787355126878,Ghost,44005,JavaScript,172.0,162.0,-10.0
https://github.com/streamlit/streamlit,0.0010282382342014186,streamlit,27222,Python,173.0,370.0,197.0
https://github.com/mochajs/mocha,0.0010265616876751068,mocha,22199,JavaScript,174.0,572.0,398.0
https://github.com/grpc/grpc-go,0.0010160468108289641,grpc-go,18868,Go,175.0,756.0,581.0
https://github.com/Advanced-Frontend/Daily-Interview-Question,0.0010140596059824798,Daily-Interview-Question,27002,JavaScript,176.0,376.0,200.0
https://github.com/GeekyAnts/NativeBase,0.0010086392742071984,NativeBase,19675,TypeScript,177.0,714.0,537.0
https://github.com/aregm/nff-go,0.0010079302329790258,nff-go,1318,Go,178.0,1567.0,1389.0
https://github.com/google/mobly,0.0010050341607390262,mobly,572,Python,179.0,1808.5,1629.5
https://github.com/spf13/cobra,0.0010023129527518915,cobra,33423,Go,180.0,292.0,112.0
https://github.com/AMAI-GmbH/AI-Expert-Roadmap,0.0010016808783422466,AI-Expert-Roadmap,26771,JavaScript,181.0,384.0,203.0
https://github.com/ydataai/ydata-synthetic,0.0009998105263430484,ydata-synthetic,1084,Python,182.0,1608.0,1426.0
https://github.com/verekia/js-stack-from-scratch,0.0009864743503835722,js-stack-from-scratch,20022,JavaScript,183.0,691.0,508.0
https://github.com/statelyai/xstate,0.0009858936609274374,xstate,24768,TypeScript,184.0,444.0,260.0
https://github.com/gravitational/teleport,0.0009854625113786548,teleport,15097,Go,185.0,1069.0,884.0
https://github.com/mdbootstrap/mdb-ui-kit,0.0009854261286102917,mdb-ui-kit,23683,Other,186.0,491.0,305.0
https://github.com/pytorch/pytorch,0.0009804918915901181,pytorch,70933,Python,187.0,66.0,-121.0
https://github.com/ultralytics/ultralytics,0.0009780782387790218,ultralytics,12998,Python,188.0,1346.0,1158.0
https://github.com/stdlib-js/stdlib,0.000978026723860753,stdlib,3478,JavaScript,189.0,1435.0,1246.0
https://github.com/moby/moby,0.000977227171055917,moby,66680,Go,190.0,72.0,-118.0
https://github.com/yudai/gotty,0.0009762822600308484,gotty,18039,Go,191.0,820.0,629.0
https://github.com/opencybersecurityalliance/stix-shifter,0.0009748265232237444,stix-shifter,196,Python,192.0,2376.0,2184.0
https://github.com/axios/axios,0.0009726232072956429,axios,101732,JavaScript,193.0,29.0,-164.0
https://github.com/alibaba/ice,0.0009725404842768719,ice,17651,TypeScript,194.0,849.5,655.5
https://github.com/go-chi/chi,0.000971677687536182,chi,15335,Go,195.0,1049.0,854.0
https://github.com/mermaid-js/mermaid,0.0009707341264798069,mermaid,61118,JavaScript,196.0,85.0,-111.0
https://github.com/TheAlgorithms/C-Plus-Plus,0.0009691247146713538,C-Plus-Plus,25799,C++,197.0,412.0,215.0
https://github.com/labmlai/annotated_deep_learning_paper_implementations,0.0009682545707735877,annotated_deep_learning_paper_implementations,36179,Python,198.0,249.0,51.0
https://github.com/NvChad/NvChad,0.000967460823279209,NvChad,19350,Other,199.0,729.0,530.0
https://github.com/grafana/grafana,0.0009605251914434193,grafana,57147,TypeScript,200.0,97.0,-103.0
https://github.com/ultralytics/yolov5,0.0009579484238515341,yolov5,41715,Python,201.0,190.0,-11.0
