URL,Hub_Score,Name,Stars,Language_Grouped
https://github.com/vercel/turbo,0.0026630116201980954,turbo,22863,Rust
https://github.com/jsdom/jsdom,0.0026256123561460296,jsdom,19191,JavaScript
https://github.com/redgeoff/mson,0.002608273408261327,mson,461,JavaScript
https://github.com/bl00mber/react-phone-input-2,0.0026080093142838187,react-phone-input-2,864,JavaScript
https://github.com/decaporg/decap-cms,0.0025769520529339445,decap-cms,16955,JavaScript
https://github.com/Belphemur/node-json-db,0.002548090907284785,node-json-db,654,TypeScript
https://github.com/websockets/ws,0.0025394454534676406,ws,20305,JavaScript
https://github.com/saltyshiomix/nextron,0.0025377418388643842,nextron,3032,TypeScript
https://github.com/shelljs/shelljs,0.0025366211949887398,shelljs,13958,JavaScript
https://github.com/dwyl/learn-redux,0.002520733444798089,learn-redux,446,Other
https://github.com/typescript-cheatsheets/react,0.0025053193831022958,react,42201,JavaScript
https://github.com/metachris/typescript-boilerplate,0.0024905710986638883,typescript-boilerplate,591,TypeScript
https://github.com/eavichay/microfronts,0.00248024126733494,microfronts,320,TypeScript
https://github.com/vadimdemedes/ink,0.002467389773045315,ink,24470,TypeScript
https://github.com/motdotla/dotenv,0.0024639356614801623,dotenv,17711,JavaScript
https://github.com/tensorflow/tfjs,0.0024524988177044684,tfjs,17680,TypeScript
https://github.com/xtermjs/xterm.js,0.0024224057339979972,xterm.js,15603,TypeScript
https://github.com/kryptokinght/react-extension-boilerplate,0.0023992109830674887,react-extension-boilerplate,260,JavaScript
https://github.com/react-grid-layout/react-grid-layout,0.0023860061032666734,react-grid-layout,18328,JavaScript
https://github.com/quasarframework/quasar,0.002378068588359315,quasar,24269,JavaScript
https://github.com/makeplane/plane,0.0023746666945754433,plane,15754,TypeScript
https://github.com/feross/thanks,0.002366615716789028,thanks,2765,JavaScript
https://github.com/AlloyTeam/eslint-config-alloy,0.0023618511626050743,eslint-config-alloy,2586,JavaScript
https://github.com/SigNoz/signoz,0.002360192226184634,signoz,14341,TypeScript
https://github.com/justadudewhohacks/face-api.js,0.0023574156709815896,face-api.js,15432,TypeScript
https://github.com/web3/web3.js,0.0023477551586351896,web3.js,17895,TypeScript
https://github.com/remotion-dev/remotion,0.0023126171241850575,remotion,17048,TypeScript
https://github.com/angular-ui/ui-router,0.0023081495476402914,ui-router,13610,TypeScript
https://github.com/denoland/deno,0.002307081257934016,deno,90877,Rust
https://github.com/BinaryMuse/fluxxor,0.0022935303753424865,fluxxor,1698,JavaScript
https://github.com/rbhatia46/React-Portfolio,0.0022935303753424865,React-Portfolio,509,JavaScript
https://github.com/sindresorhus/eslint-plugin-unicorn,0.0022710942924864196,eslint-plugin-unicorn,3487,JavaScript
https://github.com/google/zx,0.0022707528819506237,zx,38538,JavaScript
https://github.com/microsoft/TypeScript,0.002266622429667165,TypeScript,94181,TypeScript
https://github.com/istanbuljs/istanbuljs,0.0022624369857461883,istanbuljs,932,JavaScript
https://github.com/bitauth/libauth,0.0022589472754233307,libauth,256,TypeScript
https://github.com/mysqljs/mysql,0.002243695123680144,mysql,17963,JavaScript
https://github.com/mvllow/next-pwa-template,0.0022289260082616583,next-pwa-template,368,TypeScript
https://github.com/svg/svgo,0.0022223896292311593,svgo,19610,JavaScript
https://github.com/expressjs/express,0.0021893428657818975,express,61914,JavaScript
https://github.com/gpujs/gpu.js,0.002187655109786764,gpu.js,14708,JavaScript
https://github.com/feross/run-parallel,0.0021857351042701193,run-parallel,363,JavaScript
https://github.com/adonisjs/core,0.002184284628031276,core,14335,TypeScript
https://github.com/selectize/selectize.js,0.002171649695177301,selectize.js,12971,Other
https://github.com/keystonejs/keystone-classic,0.0021606926121008362,keystone-classic,14670,JavaScript
https://github.com/socketio/socket.io,0.0021566403838016125,socket.io,58999,TypeScript
https://github.com/lovell/sharp,0.002150556313569535,sharp,26281,JavaScript
https://github.com/michal-wrzosek/p2p-chat,0.002130923763119431,p2p-chat,176,Other
https://github.com/statsd/statsd,0.0020927087721361692,statsd,17221,JavaScript
https://github.com/hexojs/hexo,0.0020884986112281938,hexo,37432,JavaScript
https://github.com/jshttp/type-is,0.002088044975879869,type-is,221,JavaScript
https://github.com/hydux/hydux,0.002083721354622791,hydux,219,TypeScript
https://github.com/yeoman/generator,0.002082983773628196,generator,1159,TypeScript
https://github.com/resilient-http/resilient.js,0.002080902114587234,resilient.js,181,JavaScript
https://github.com/getredash/redash,0.0020787598779167787,redash,23857,Python
https://github.com/baryon/tracer,0.002074163852987128,tracer,1137,JavaScript
https://github.com/nwjs/nw.js,0.0020720969623325963,nw.js,39831,JavaScript
https://github.com/alsotang/node-lessons,0.0020673824538795104,node-lessons,16544,JavaScript
https://github.com/chakra-core/ChakraCore,0.002059215278525888,ChakraCore,8956,JavaScript
https://github.com/palantir/blueprint,0.002025284007769369,blueprint,20061,TypeScript
https://github.com/iview/iview,0.0020111588686539924,iview,23998,Other
https://github.com/dalenguyen/rest-api-node-typescript,0.0019991478649085937,rest-api-node-typescript,460,TypeScript
https://github.com/piotrwitek/react-redux-typescript-guide,0.0019713634615899293,react-redux-typescript-guide,13220,TypeScript
https://github.com/DioxusLabs/dioxus,0.0019677328253552037,dioxus,13969,Rust
https://github.com/react-boilerplate/react-boilerplate-cra-template,0.0019651613793880453,react-boilerplate-cra-template,1818,TypeScript
https://github.com/validatorjs/validator.js,0.0019632201488795544,validator.js,21761,JavaScript
https://github.com/blockchain/blockchain-wallet-v4-frontend,0.0019627182585540805,blockchain-wallet-v4-frontend,677,TypeScript
https://github.com/you-dont-need/You-Dont-Need-JavaScript,0.0019558261149656246,You-Dont-Need-JavaScript,18409,Other
https://github.com/react-native-elements/react-native-elements,0.0019374558584895052,react-native-elements,24001,Other
https://github.com/TotallyInformation/node-red-contrib-uibuilder,0.0019184037848404894,node-red-contrib-uibuilder,378,JavaScript
https://github.com/mdbootstrap/mdb-ui-kit,0.0019137372000627422,mdb-ui-kit,23683,Other
https://github.com/GeekyAnts/NativeBase,0.0018838455238522375,NativeBase,19675,TypeScript
https://github.com/parcel-bundler/parcel,0.0018719926137736815,parcel,42700,JavaScript
https://github.com/qier222/YesPlayMusic,0.0018573125140185355,YesPlayMusic,24838,Other
https://github.com/jhipster/generator-jhipster,0.0018492304353578408,generator-jhipster,20845,TypeScript
https://github.com/ant-design/ant-design,0.0018336838303176237,ant-design,87612,TypeScript
https://github.com/webview/webview,0.001833396423993597,webview,11491,C
https://github.com/Melzar/onion-architecture-boilerplate,0.0017885013059105639,onion-architecture-boilerplate,257,TypeScript
https://github.com/zaydek/heroicons.dev,0.0017330480151773095,heroicons.dev,1231,TypeScript
https://github.com/trufflesuite/truffle,0.001730589240024508,truffle,13999,TypeScript
https://github.com/mohitk05/react-insta-stories,0.0017241733337383255,react-insta-stories,1231,TypeScript
https://github.com/ryohey/signal,0.001721839479786151,signal,948,TypeScript
https://github.com/wbkd/react-flow,0.00171620560156105,react-flow,17417,TypeScript
https://github.com/mantinedev/mantine,0.0016833712331066758,mantine,21355,TypeScript
https://github.com/AustinGil/vuetensils,0.0016606441273138808,vuetensils,651,Other
https://github.com/vueComponent/ant-design-vue,0.0016366920888984434,ant-design-vue,18708,Other
https://github.com/dcloudio/uni-app,0.0016276463612912306,uni-app,38609,JavaScript
https://github.com/nextcloud/server,0.0016005861885393855,server,23791,Other
https://github.com/TrilonIO/universal-nest,0.0015739847391748332,universal-nest,292,TypeScript
https://github.com/dcloudio/mui,0.0015594368108103286,mui,13456,JavaScript
https://github.com/pouchdb/pouchdb,0.001537903931207775,pouchdb,15942,JavaScript
https://github.com/RocketChat/Rocket.Chat,0.0015348761739828324,Rocket.Chat,37061,TypeScript
https://github.com/yangshun/front-end-interview-handbook,0.001532364695966568,front-end-interview-handbook,38229,Other
https://github.com/video-dev/hls.js,0.0014942218398367462,hls.js,13336,TypeScript
https://github.com/chartjs/Chart.js,0.0014941357390572151,Chart.js,61812,JavaScript
https://github.com/BrainJS/brain.js,0.0014565183575484556,brain.js,13878,TypeScript
https://github.com/emberjs/ember.js,0.001450896757653653,ember.js,22437,JavaScript
https://github.com/you-dont-need/You-Dont-Need-Lodash-Underscore,0.0014322982839391112,You-Dont-Need-Lodash-Underscore,17470,JavaScript
https://github.com/vuejs/vue,0.0014310572347210572,vue,205326,TypeScript
https://github.com/nextauthjs/next-auth,0.001430361479364245,next-auth,18767,TypeScript
https://github.com/drizzle-team/drizzle-orm,0.001430216410258887,drizzle-orm,13358,TypeScript
https://github.com/frappe/charts,0.0014122288982663712,charts,14795,JavaScript
https://github.com/transloadit/uppy,0.0014121433138623272,uppy,27305,JavaScript
https://github.com/twbs/bootstrap,0.001407325808585176,bootstrap,165352,JavaScript
https://github.com/microsoft/Web-Dev-For-Beginners,0.0013945911169027962,Web-Dev-For-Beginners,76757,JavaScript
https://github.com/select2/select2,0.0013558817806070004,select2,25699,JavaScript
https://github.com/h5bp/html5-boilerplate,0.0013524275936123247,html5-boilerplate,55252,JavaScript
https://github.com/Modernizr/Modernizr,0.001346607966314922,Modernizr,25538,JavaScript
https://github.com/Dogfalo/materialize,0.0013346848999503302,materialize,38847,JavaScript
https://github.com/listr2/listr2,0.0013035604431194188,listr2,387,TypeScript
https://github.com/highlightjs/highlight.js,0.0012950664116756873,highlight.js,22058,JavaScript
https://github.com/asciidoctor/asciidoctor.js,0.0012932534999795804,asciidoctor.js,664,JavaScript
https://github.com/Leaflet/Leaflet,0.0012927941411912036,Leaflet,38428,JavaScript
https://github.com/mycurelabs/vue-html-to-paper,0.0012927941411912034,vue-html-to-paper,290,JavaScript
https://github.com/ElemeFE/element,0.0012802142345695973,element,53678,Other
https://github.com/flutter/flutter,0.001275407189409123,flutter,156818,Other
https://github.com/oslabs-beta/Osiris,0.0012745812050447684,Osiris,176,JavaScript
https://github.com/parse-community/parse-server,0.0012565852837450298,parse-server,20404,JavaScript
https://github.com/AvaloniaUI/Avalonia,0.001243739828139287,Avalonia,19638,C#
https://github.com/twbs/ratchet,0.001242227943598408,ratchet,14570,Other
https://github.com/mattermost/mattermost,0.0012224314834770626,mattermost,26306,TypeScript
https://github.com/material-components/material-components-web,0.0012186095062991316,material-components-web,16918,TypeScript
https://github.com/sweetalert2/sweetalert2,0.001172876972257411,sweetalert2,16233,JavaScript
https://github.com/facebook/react-native,0.0011683737028992656,react-native,112057,Java
https://github.com/t3-oss/create-t3-app,0.0011578650270768443,create-t3-app,19564,TypeScript
https://github.com/fitzhavey/vue-json-tree-view,0.0011463126330156688,vue-json-tree-view,468,Other
https://github.com/adexin/spinners-react,0.0011406316193474412,spinners-react,375,TypeScript
https://github.com/3mcd/javelin,0.001114728217561615,javelin,173,TypeScript
https://github.com/airyland/vux,0.0010825266161656544,vux,17632,Other
https://github.com/n4kz/react-native-material-dropdown,0.0010697539465034066,react-native-material-dropdown,720,JavaScript
https://github.com/pubkey/rxdb,0.0010554166390427777,rxdb,19653,TypeScript
https://github.com/libgdx/libgdx,0.0010533099283349613,libgdx,21952,Java
https://github.com/tomsoderlund/nextjs-pwa-firebase-boilerplate,0.001041844287551338,nextjs-pwa-firebase-boilerplate,197,JavaScript
https://github.com/danilowoz/react-content-loader,0.00103900368841746,react-content-loader,13063,TypeScript
https://github.com/withfig/autocomplete,0.0010384374751053794,autocomplete,23023,TypeScript
https://github.com/hoppscotch/hoppscotch,0.0010314884285051668,hoppscotch,54608,TypeScript
https://github.com/requarks/wiki,0.0010231672835796137,wiki,21891,Other
https://github.com/PanJiaChen/vue-admin-template,0.0010196103986058998,vue-admin-template,18899,JavaScript
https://github.com/zulip/zulip,0.0010177574412631998,zulip,18448,Python
https://github.com/react-hook-form/react-hook-form,0.0010080456976572906,react-hook-form,36810,TypeScript
https://github.com/sonnyt/just,0.0010039330981303004,just,197,TypeScript
https://github.com/fyne-io/fyne,0.0010021109233503364,fyne,21368,Go
https://github.com/redwoodjs/redwood,0.0009992696298440084,redwood,16304,TypeScript
https://github.com/marmelab/react-admin,0.000998208958230536,react-admin,22904,TypeScript
https://github.com/react-navigation/react-navigation,0.000996170531472113,react-navigation,22734,TypeScript
https://github.com/expo/create-react-native-app,0.0009859405799380033,create-react-native-app,13163,TypeScript
https://github.com/emotion-js/emotion,0.0009754357490875374,emotion,16755,JavaScript
https://github.com/webpack/webpack,0.0009738369863831213,webpack,63514,JavaScript
https://github.com/beholdr/maska,0.0009676840127557443,maska,965,TypeScript
https://github.com/xbmc/xbmc,0.0009662676571741146,xbmc,16279,C++
https://github.com/pyscript/pyscript,0.0009638323081246191,pyscript,17036,Python
https://github.com/Tencent/MMKV,0.0009629134414098689,MMKV,16189,C++
https://github.com/txthinking/brook,0.0009527808478102621,brook,13862,Go
https://github.com/stuicey/SSHy,0.0009527557587716973,SSHy,511,JavaScript
https://github.com/kivy/kivy,0.0009225079862830931,kivy,16267,Python
https://github.com/wulkano/Kap,0.0009203346626306927,Kap,16776,TypeScript
https://github.com/vuejs/vue-router,0.0009195866551509111,vue-router,19007,JavaScript
https://github.com/pmndrs/zustand,0.0009170699595733721,zustand,35260,TypeScript
https://github.com/gitim/react-native-sortable-list,0.0009039447343693796,react-native-sortable-list,824,JavaScript
https://github.com/processing/p5.js,0.0009012835694387175,p5.js,19912,JavaScript
https://github.com/AdityaKumawat97/MERN-BUS-APP,0.0009011621181418557,MERN-BUS-APP,196,JavaScript
https://github.com/akveo/ngx-admin,0.0008909569614480445,ngx-admin,24709,TypeScript
https://github.com/videojs/video.js,0.0008884055887025569,video.js,36202,JavaScript
https://github.com/juliangarnier/anime,0.0008806001334726261,anime,47065,JavaScript
https://github.com/microsoft/playwright,0.0008786632626236858,playwright,55024,TypeScript
https://github.com/aquasecurity/trivy,0.0008778204176311249,trivy,18677,Go
https://github.com/vercel/next.js,0.0008717539859237533,next.js,111891,JavaScript
https://github.com/mojs/mojs,0.0008709415996073937,mojs,18106,Other
https://github.com/chakra-ui/chakra-ui,0.0008691333651926988,chakra-ui,34413,TypeScript
https://github.com/sahat/hackathon-starter,0.0008667439702976845,hackathon-starter,34348,JavaScript
https://github.com/tailwindlabs/headlessui,0.0008470460803610172,headlessui,22213,TypeScript
https://github.com/bigskysoftware/htmx,0.0008330724813042977,htmx,21100,JavaScript
https://github.com/tabler/tabler-icons,0.0008313524054272662,tabler-icons,16048,Other
https://github.com/Alicunde/HTML,0.0008302543246662306,HTML,194,Other
https://github.com/Solido/awesome-flutter,0.0008215343672212208,awesome-flutter,48506,Other
https://github.com/typescript-eslint/typescript-eslint,0.0008197523999290801,typescript-eslint,13866,TypeScript
https://github.com/mdx-js/mdx,0.0007917143752345628,mdx,15775,JavaScript
https://github.com/nocodb/nocodb,0.0007862232520741049,nocodb,37874,TypeScript
https://github.com/ericm/stonks,0.0007834240651775965,stonks,534,Go
https://github.com/showdownjs/showdown,0.0007821103430329867,showdown,13509,JavaScript
https://github.com/tabler/tabler,0.0007816724464881359,tabler,35439,Other
https://github.com/sherlock-project/sherlock,0.0007778242081235142,sherlock,43317,Python
https://github.com/nvm-sh/nvm,0.0007702519750248743,nvm,70228,Other
